,location_name,date,location_id,allbed_mean,ICUbed_mean,InvVen_mean,admis_mean,newICU_mean,bedover_mean,icuover_mean,deaths_mean,totdea_mean,mobility_composite,total_tests,confirmed_infections,est_infections_mean
30001,Germany,2020-04-25,81,2084.4076747795802,1046.0768090393199,999.2362054914939,277.764391713262,151.385272837813,0.0,0.0,179.0,5499.0,-41.4791283617525,50021.892103283,2051.0,6392.33124445193
30002,Germany,2020-04-26,81,1988.80553240529,997.7232882830921,952.0558306829871,255.53074032040402,140.276773187257,0.0,0.0,139.0,5638.0,-41.671815504655704,49877.4643515526,1729.9999999999698,6052.42625099814
30003,Germany,2020-04-27,81,1901.2177385108498,955.229284997476,910.8504932651371,248.427797044588,136.171330896993,0.0,0.0,110.0,5748.0,-41.90736958721529,49756.8945265726,1017.00000000003,5730.408830416501
30004,Germany,2020-04-28,81,1819.08012899,911.6269728314211,868.644901203737,239.54095599756698,130.039964689198,0.0,0.0,163.0,5911.0,-42.506025271636794,49724.3918375388,1143.0,5425.78915124255
30005,Germany,2020-04-29,81,1736.20957715873,869.853274248842,828.396543459512,227.530166806199,123.781128631723,0.0,0.0,202.0,6113.0,-43.1248398368146,49842.168668052596,1302.99999999997,5138.038779616661
30006,Germany,2020-04-30,81,1655.3982514127201,828.074779075723,788.1427750657539,217.520210309277,118.658937831501,0.0,0.0,173.0,6286.0,-43.587046278023,50156.337904236905,1474.0000000000598,4866.58799711569
30007,Germany,2020-05-01,81,1576.0463436956602,788.291033701631,749.9314747664059,206.50279650688998,112.57457071891001,0.0,0.0,193.0,6479.0,-43.7248990192817,50685.0168161362,1637.0,4610.82668358181
30008,Germany,2020-05-02,81,1498.61848629512,751.613562546492,714.706667914181,190.94184647877498,104.518275769131,0.0,0.0,94.0,6573.0,-43.755794725001,51412.908852234505,943.0,4370.105706336551
30009,Germany,2020-05-03,81,1425.20423505547,712.8573957484809,677.497865508936,179.887187663334,98.31817906011258,0.0,0.0,74.0,6647.0,-42.9259084490832,52294.63384676,791.999999999971,4143.73443784244
30010,Germany,2020-05-04,81,1353.92004184931,676.131551683486,642.271138443406,172.923099011549,94.2335173505287,0.0,0.0,43.0,6690.0,-41.477849854859706,53265.42845787651,678.000000000029,3930.9883341776
30011,Germany,2020-05-05,81,1283.61920144886,641.320663026361,609.047740833878,165.023860971205,90.0604696612684,0.0,0.0,139.0,6829.0,-39.8720351718413,54255.396151576904,684.0,3731.11829093459
30012,Germany,2020-05-06,81,1217.14836486791,607.53343103094,576.8145603791249,157.734801380388,85.9687957251254,0.0,0.0,165.0,6994.0,-37.6674226592628,55202.852043407904,947.0,3543.34846933609
30013,Germany,2020-05-07,81,1151.94031479566,574.880846754853,545.605736015631,148.070327035039,80.89463039529271,0.0,0.0,123.0,7117.0,-35.8393232438846,56063.54616455059,1283.99999999997,3366.88395376019
