,location_name,date,location_id,allbed_mean,ICUbed_mean,InvVen_mean,admis_mean,newICU_mean,bedover_mean,icuover_mean,deaths_mean,totdea_mean,mobility_composite,total_tests,confirmed_infections,est_infections_mean
84376,United States of America,2020-03-31,102,17089.8933842484,7532.32352170138,7386.055045778309,3520.10363291383,1639.2097985319,0.0,3535.2291666666706,1056.0,4608.0,-51.048342963166,117545.128833643,25605.0,250796.519984048
84377,United States of America,2020-04-01,102,19183.5075715471,8450.67304419911,8277.26114262077,3788.79786378114,1766.46589130409,0.0,4137.367333333329,1092.0,5700.0,-51.541744719681,122149.837318113,25883.0,248967.41630876603
84378,United States of America,2020-04-02,102,21285.4264862657,9362.871306809971,9159.06463238916,4081.7522830821704,1907.94335176387,0.0,4720.354333333329,1244.0,6944.0,-52.0395423606685,126446.035340951,29949.0,246744.113184281
84379,United States of America,2020-04-03,102,23293.307481754102,10231.8709495464,9995.27191660519,4314.3294322312,2017.3121741567602,0.0,5258.28,1527.0,8471.0,-52.6049610344417,130419.86104452901,32116.0,244211.368989899
84380,United States of America,2020-04-04,102,25150.2056511314,11031.280025433301,10760.0249955026,4501.4529096796205,2107.7689860465,0.0,5774.35033333333,1630.0,10101.0,-52.64914120252789,134076.485199643,33476.0,241429.369073437
84381,United States of America,2020-04-05,102,26827.0041116412,11749.6647872503,11442.079960603898,4667.19710095298,2190.28339186608,83.2166666666667,6223.69816666667,1328.0,11429.0,-52.90040431843289,137460.153673099,28064.0,238440.02303524897
84382,United States of America,2020-04-06,102,28309.4192623237,12384.5217874886,12040.0105782421,4799.665732872821,2251.37044769611,510.583333333333,6618.07666666667,1213.0,12642.0,-53.0155738849259,140625.407485321,29823.9999999999,235273.221012562
84383,United States of America,2020-04-07,102,29597.9303532008,12944.122151553702,12563.1021114725,4892.59908105442,2301.43252133461,776.951666666667,6964.3865,2341.0,14983.0,-52.9635760960171,143580.81762553198,31089.0000000001,231952.435529048
84384,United States of America,2020-04-08,102,30669.538117316202,13397.446896451398,12980.341489448301,4955.972552009721,2334.9297370554,871.674166666667,7218.2028615196095,2231.0,17214.0,-52.8442438571422,146255.133885533,32880.000000000095,228497.61451418
84385,United States of America,2020-04-09,102,31527.0451919048,13759.0208134085,13306.4946398052,5001.85659585373,2352.37506242353,834.8016666666671,7395.89405882353,2142.0,19356.0,-52.8842705983961,148521.171360935,33131.999999999905,224926.41405183397
84386,United States of America,2020-04-10,102,32209.456247192702,14049.5099354109,13564.1110138522,5039.87748728079,2371.8470534237804,669.913333333333,7502.76855882353,2172.0,21528.0,-52.8775151727801,150266.88076686,33893.999999999905,221254.563702028
84387,United States of America,2020-04-11,102,32701.0849618487,14252.289377121202,13736.1724975447,5028.4652602706,2366.23642144823,385.048333333333,7535.984449754909,2162.0,23690.0,-52.747998985825994,151472.071443624,29938.0000000001,217495.56373325398
84388,United States of America,2020-04-12,102,33019.098921609504,14381.834669983702,13838.145858906399,5000.87831581596,2355.3518329328303,25.015,7516.816915441179,1808.0,25498.0,-52.504026319198395,152255.221656844,28930.0000000001,213661.531461853
84389,United States of America,2020-04-13,102,33153.2546943893,14438.965279528702,13871.6494630445,4940.23958869555,2335.33240807689,0.0,7440.4652830882405,1782.0,27280.0,-52.2011676511376,152876.945378529,26357.9999999998,209763.876029553
84390,United States of America,2020-04-14,102,33184.022306305604,14445.9328322191,13858.252287053701,4915.87457096828,2320.4164439945303,0.0,7330.51212254902,2734.0,30014.0,-51.79284802329389,153706.997434556,27316.0000000001,205813.353886217
84391,United States of America,2020-04-15,102,33114.5574758349,14407.470257596298,13803.920439791398,4866.728279828761,2295.4727771410603,0.0,7195.052540441179,2714.0,32728.0,-51.2963618306334,155168.724128262,29009.0,201820.02595843302
84392,United States of America,2020-04-16,102,32953.7179028342,14330.678723533601,13715.034896085801,4827.44572999058,2279.518640094,0.0,7033.985278186271,2367.0,35059.0,-50.7404820783051,157673.562024986,30373.0,197793.52890023898
84393,United States of America,2020-04-17,102,32710.3538782164,14227.154916968999,13602.96995529,4762.38385311796,2250.2431794819395,0.0,6850.282504063471,2387.0,37482.0,-50.1556268311742,161552.755706124,33221.999999999905,193743.420300704
84394,United States of America,2020-04-18,102,32425.83782825,14106.3516617228,13477.047399584098,4708.95165761383,2225.45213661985,0.0,6655.3253679050595,2024.0,39506.0,-49.5685673215228,166992.635957461,28304.0000000001,189679.10511431601
84395,United States of America,2020-04-19,102,32089.787282332403,13969.897477265,13338.092451820601,4626.32034452111,2191.9152632383702,0.0,6450.082300503101,1895.0,41401.0,-49.0014632863866,173980.128456966,26728.9999999999,185609.79032035198
84396,United States of America,2020-04-20,102,31731.1948899625,13810.6688684772,13178.333830228701,4552.42673038839,2156.19891254673,0.0,6233.150412280699,1782.0,43183.0,-48.4687139488875,182271.725695733,27137.0000000001,181544.484692883
